ID,Command,Log File,Result,All Detected Rules
190,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack190.log,Bypass All,None
191,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack191.log,Bypass All,None
192,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack192.log,Bypass All,None
193,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""ba""""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack193.log,Bypass All,None
194,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack194.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
195,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""a""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack195.log,Bypass All,None
196,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack196.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
197,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack197.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
198,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b'ase64' -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack198.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
199,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack199.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
200,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/s""h""'",Linux_Base64_Encoded_Pipe_to_Shell_attack200.log,Bypass All,None
201,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""se64"" -d | /bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack201.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
202,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base64"" -d | ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack202.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
203,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack203.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
204,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d| bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack204.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
205,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" |base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack205.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
206,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""se""""64"" -d | ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack206.log,Bypass All,None
207,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""se""64 -d | /bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack207.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
208,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base6""4"" -d | /bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack208.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
209,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /b""i""n/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack209.log,Bypass All,None
210,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/bas""h""'",Linux_Base64_Encoded_Pipe_to_Shell_attack210.log,Bypass All,None
211,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""a""se64 -d | sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack211.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
212,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""""se64 -d | /bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack212.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
213,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack213.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
214,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /usr/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack214.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
215,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""a""s""e""64 -d | /bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack215.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
216,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bi""n""/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack216.log,Bypass All,None
217,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack217.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
218,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/bash #injected'",Linux_Base64_Encoded_Pipe_to_Shell_attack218.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
219,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack219.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
220,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/sh # benign'",Linux_Base64_Encoded_Pipe_to_Shell_attack220.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
221,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d|/bin/sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack221.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
222,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bi""n""/base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack222.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
223,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack223.log,Bypass All,None
224,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /b""i""n//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack224.log,Bypass All,None
225,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""s""e64 -d | b""a""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack225.log,Bypass All,None
226,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack226.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
227,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |""bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack227.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
228,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d |/bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack228.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
229,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack229.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
230,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""a""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack230.log,Bypass All,None
231,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""ba""""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack231.log,Bypass All,None
232,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | 'ba'sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack232.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
233,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /b""in""/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack233.log,Bypass All,None
234,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin/./bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack234.log,Bypass All,None
235,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bin//bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack235.log,Bypass All,None
236,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base64"" -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack236.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
237,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ba""se""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack237.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
238,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""""ase64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack238.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
239,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack239.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
240,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin/./base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack240.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
241,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /usr/bin//base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack241.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
242,"/bin/bash -c 'e""cho"" ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack242.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
243,"/bin/bash -c 'e""""cho ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack243.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
244,"/bin/bash -c '""/bin""/bash -c ""echo ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | base64 -d | bash""'",Linux_Base64_Encoded_Pipe_to_Shell_attack244.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
245,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bas\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack245.log,Bypass All,None
246,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b""as""h'",Linux_Base64_Encoded_Pipe_to_Shell_attack246.log,Bypass All,None
247,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ""ba""sh'",Linux_Base64_Encoded_Pipe_to_Shell_attack247.log,Bypass All,None
248,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | b\ash'",Linux_Base64_Encoded_Pipe_to_Shell_attack248.log,Bypass All,None
249,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b""ase""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack249.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
250,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | ba""sh""'",Linux_Base64_Encoded_Pipe_to_Shell_attack250.log,Bypass All,None
251,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | \b\a\s\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack251.log,Bypass All,None
252,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | $(echo bash)'",Linux_Base64_Encoded_Pipe_to_Shell_attack252.log,Bypass All,None
253,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | /bi""n""/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack253.log,Bypass All,None
254,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /us""r""/bin/base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack254.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
255,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | ""base""64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack255.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
256,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | b\ase64 -d | b\a\s\h'",Linux_Base64_Encoded_Pipe_to_Shell_attack256.log,Bypass All,None
257,"/bin/bash -c 'echo ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | /bin/base64 -d | /bin/bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack257.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
258,"/bin/bash -c 'e""ch""o ""ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg=="" | base64 -d | bash'",Linux_Base64_Encoded_Pipe_to_Shell_attack258.log,Trigger: Linux Base64 Encoded Pipe to Shell (Hardened),Linux Base64 Encoded Pipe to Shell (Hardened)
259,"/bin/bash -c ""$(echo ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | base64 -d)""",Linux_Base64_Encoded_Pipe_to_Shell_attack259.log,Bypass All,None
260,"/bin/bash -c ""$(e""""cho ZWNobyAiVHJpZ2dlcmluZyBTaWdtYSBSdWxlIiA7IGlkCg== | ba""""se""""64 -d)""",Linux_Base64_Encoded_Pipe_to_Shell_attack260.log,Bypass All,None
,,,,
,,,,
=== SUMMARY REPORT ===,,,,
Target Rule,Linux Base64 Encoded Pipe to Shell (Hardened),,,
Total Meaningful Logs,260,,,
Triggered Target,147,,,
Bypass Logs,113,,,
BYPASS RATE,113 / 260 (43.46%),,,
